Month,Day,Trop Rel Prob,Cumulative trop prob
6,1,0.000569152,0.000569152
6,2,0.001138304,0.001707456
6,3,0.001517739,0.003225194
6,4,0.001138304,0.004363498
6,5,0.001517739,0.005881237
6,6,0.001707456,0.007588693
6,7,0.001517739,0.009106431
6,8,0.001138304,0.010244735
6,9,0.000948587,0.011193322
6,10,0.000758869,0.011952191
6,11,0.000758869,0.012711061
6,12,0.000758869,0.01346993
6,13,0.000569152,0.014039082
6,14,0.001328021,0.015367103
6,15,0.001138304,0.016505407
6,16,0.000758869,0.017264276
6,17,0.000758869,0.018023146
6,18,0.000758869,0.018782015
6,19,0.001897173,0.020679188
6,20,0.002276608,0.022955796
6,21,0.001707456,0.024663252
6,22,0.001897173,0.026560425
6,23,0.002086891,0.028647315
6,24,0.002276608,0.030923923
6,25,0.001328021,0.032251945
6,26,0.001517739,0.033769683
6,27,0.000758869,0.034528552
6,28,0.000948587,0.035477139
6,29,0.001138304,0.036615443
6,30,0.001328021,0.037943464
7,1,0.002276608,0.040220072
7,2,0.001897173,0.042117245
7,3,0.001517739,0.043634984
7,4,0.001328021,0.044963005
7,5,0.002086891,0.047049896
7,6,0.002276608,0.049326504
7,7,0.002276608,0.051603111
7,8,0.002276608,0.053879719
7,9,0.002466325,0.056346044
7,10,0.002276608,0.058622652
7,11,0.002466325,0.061088977
7,12,0.002086891,0.063175868
7,13,0.002466325,0.065642193
7,14,0.002276608,0.067918801
7,15,0.001707456,0.069626257
7,16,0.001517739,0.071143995
7,17,0.001897173,0.073041169
7,18,0.002656042,0.075697211
7,19,0.002086891,0.077784102
7,20,0.00284576,0.080629862
7,21,0.002086891,0.082716752
7,22,0.001897173,0.084613925
7,23,0.001707456,0.086321381
7,24,0.003225194,0.089546576
7,25,0.00284576,0.092392335
7,26,0.002466325,0.094858661
7,27,0.002086891,0.096945551
7,28,0.002086891,0.099032442
7,29,0.001707456,0.100739898
7,30,0.002086891,0.102826788
7,31,0.003035477,0.105862265
8,1,0.003225194,0.10908746
8,2,0.004742933,0.113830393
8,3,0.004363498,0.118193891
8,4,0.004173781,0.122367672
8,5,0.003794346,0.126162019
8,6,0.003414912,0.12957693
8,7,0.003604629,0.133181559
8,8,0.004553216,0.137734775
8,9,0.003984064,0.141718839
8,10,0.004363498,0.146082337
8,11,0.003794346,0.149876684
8,12,0.003604629,0.153481313
8,13,0.004173781,0.157655094
8,14,0.006450389,0.164105483
8,15,0.007588693,0.171694176
8,16,0.008157845,0.17985202
8,17,0.007209258,0.187061279
8,18,0.00777841,0.194839689
8,19,0.008157845,0.202997534
8,20,0.008726997,0.21172453
8,21,0.009296149,0.221020679
8,22,0.009296149,0.230316828
8,23,0.008726997,0.239043825
8,24,0.008726997,0.247770821
8,25,0.009296149,0.25706697
8,26,0.009485866,0.266552836
8,27,0.011193322,0.277746158
8,28,0.012521343,0.290267501
8,29,0.012711061,0.302978562
8,30,0.014039082,0.317017644
8,31,0.015367103,0.332384747
9,1,0.016125972,0.348510719
9,2,0.015936255,0.364446974
9,3,0.015936255,0.380383229
9,4,0.014608234,0.394991463
9,5,0.014418516,0.409409979
9,6,0.01346993,0.422879909
9,7,0.015746538,0.438626447
9,8,0.017453994,0.45608044
9,9,0.017833428,0.473913868
9,10,0.018592297,0.492506166
9,11,0.016884842,0.509391007
9,12,0.016505407,0.525896414
9,13,0.015177386,0.5410738
9,14,0.016125972,0.557199772
9,15,0.014987668,0.572187441
9,16,0.014987668,0.587175109
9,17,0.014039082,0.601214191
9,18,0.013090495,0.614304686
9,19,0.012521343,0.626826029
9,20,0.01346993,0.640295959
9,21,0.012331626,0.652627585
9,22,0.012521343,0.665148928
9,23,0.012521343,0.677670271
9,24,0.013280212,0.690950484
9,25,0.011572757,0.70252324
9,26,0.011383039,0.71390628
9,27,0.011572757,0.725479036
9,28,0.011572757,0.737051793
9,29,0.011952191,0.749003984
9,30,0.011383039,0.760387023
10,1,0.009675583,0.770062607
10,2,0.009865301,0.779927907
10,3,0.008916714,0.788844622
10,4,0.007968127,0.796812749
10,5,0.009106431,0.80591918
10,6,0.008157845,0.814077025
10,7,0.008347562,0.822424587
10,8,0.007209258,0.829633846
10,9,0.006450389,0.836084234
10,10,0.006640106,0.842724341
10,11,0.007209258,0.849933599
10,12,0.006260672,0.856194271
10,13,0.006450389,0.862644659
10,14,0.006640106,0.869284766
10,15,0.006829824,0.876114589
10,16,0.006260672,0.882375261
10,17,0.006450389,0.88882565
10,18,0.006070954,0.894896604
10,19,0.005312085,0.900208689
10,20,0.004363498,0.904572187
10,21,0.004173781,0.908745969
10,22,0.004173781,0.91291975
10,23,0.003984064,0.916903813
10,24,0.003414912,0.920318725
10,25,0.004173781,0.924492506
10,26,0.003794346,0.928286853
10,27,0.004742933,0.933029786
10,28,0.003794346,0.936824132
10,29,0.003414912,0.940239044
10,30,0.00284576,0.943084804
10,31,0.002466325,0.945551129
11,1,0.003414912,0.948966041
11,2,0.002276608,0.951242648
11,3,0.002276608,0.953519256
11,4,0.002466325,0.955985581
11,5,0.002276608,0.958262189
11,6,0.002466325,0.960728515
11,7,0.002656042,0.963384557
11,8,0.002466325,0.965850882
11,9,0.002276608,0.96812749
11,10,0.002466325,0.970593815
11,11,0.001897173,0.972490988
11,12,0.000948587,0.973439575
11,13,0.000948587,0.974388162
11,14,0.001328021,0.975716183
11,15,0.001517739,0.977233921
11,16,0.001138304,0.978372225
11,17,0.001328021,0.979700247
11,18,0.001328021,0.981028268
11,19,0.001897173,0.982925441
11,20,0.002276608,0.985202049
11,21,0.002086891,0.987288939
11,22,0.001328021,0.988616961
11,23,0.001707456,0.990324417
11,24,0.001897173,0.99222159
11,25,0.001517739,0.993739328
11,26,0.001517739,0.995257067
11,27,0.000948587,0.996205654
11,28,0.000948587,0.99715424
11,29,0.001138304,0.998292544
11,30,0.001707456,1
